"GaBi Database Version","Name","UUID"
"all","GaBi Database (general)","28d74cc0-db8b-4d7e-bc44-5f6d56ce0c4a"
"SP20 2013","GaBi database SP20 2013","b9fdf525-e9b8-47a0-b897-2ecfe7e2cff5"
"SP25 2014","GaBi database SP25 2014","04536297-8f33-4ef0-b06c-54dc273c2aaa"
"SP26 2014","GaBi database SP26 2014","7d81b748-d7ea-4efd-b72e-205c69306f38"
"SP27 2015","GaBi database SP27 2015","9422129a-7992-4eaf-aa17-0fca36af4512"
"SP28 2015","GaBi database SP28 2015","176effc6-2e73-4419-be24-60b3399e91cf"
"SP29 2016","GaBi database SP29 2016","8cb50bdc-0299-4a4c-9a4e-4c62917018c7"
"SP30 2016","GaBi database SP30 2016","6985fea4-15ea-4b96-9237-c67ee3a1f28c"
"SP33 2017","GaBi database SP33 2017","d8181616-4417-4dbd-9614-09937353f17a"
"SP34 2017","GaBi database SP34 2017","07650073-f65e-4d07-97e9-359a58b7299e"
"SP35 2018","GaBi database SP35 2018","feda7597-12a1-4bd5-93ef-4d8120877b78"
"SP36 2018","GaBi database SP36 2018","dad5023c-8d97-4656-b82a-2fc6480b33a7"
"SP37 2019","GaBi database SP37 2019","aaef5d83-7fd3-424f-86c6-00f51cd39845"
"SP38 2019","GaBi database SP38 2019","4467e22f-78e4-4e21-ae4a-b8ffeda7d795"
"SP39 2019","GaBi database SP39 2019","07d9b8a7-e0fc-408f-a95e-c90735f843ce"
"SP40 2020","GaBi database SP40 2020","0115289e-52f0-4920-bc7e-57b1c96aec8d"
"Edition 2020, CUP 2020.02","GaBi Database Edition 2020, CUP 2020.02","4b368ada-d799-4afc-9d41-f371f2b23781"
"Edition 2021, CUP 2021.01","GaBi Database Edition 2021, CUP 2021.01","1cece811-7501-44d4-8067-9259bd5cb835"
"Edition 2021, CUP 2021.02","GaBi Database Edition 2021, CUP 2021.02","90321ffe-9ebb-4946-886c-338efe6fbf26"
"Edition 2022, CUP 2022.01","GaBi Database Edition 2022, CUP 2022.01","86f664e2-7dab-4722-aad7-4c5206a4123b"
"Edition 2022, CUP 2022.02","GaBi Database Edition 2022, CUP 2022.02","94f442cb-662e-43ea-a792-4b0a35132e93"
"CUP 2023.01","Sphera MLC (fka GaBi) CUP 2023.01","6bcd5bfa-3623-48ab-a52b-6d5be8db82ed"
"CUP 2023.02","Sphera MLC (fka GaBi) CUP 2023.02","cb600d3b-e85a-42b3-b059-5591e2757fbb"
"Edition 2024","Sphera MLC (fka GaBi) Databases Edition 2024","7443b962-0446-4d69-8aa7-8055a6b1614a"
