Flow property,Dataset type,Flow property UUID,Version,Reference unit,Reference unit group,Dataset type.1,Reference unit group UUID,Version.1,alternative flow property UUID (deprecated),alternative unit group UUID (deprecated)
Carbon content (biogenic),flow property data set,62e503ce-544a-4599-b2ad-bcea15a7bf20,03.00.003,kg,,,,,,
Carbon content (biogenic) - packaging,flow property data set,262a541b-209e-44cc-a426-33bce30de7b1,00.01.000,kg,,,,,,
,,,,,,,,,,
Mass,flow property data set,93a60a56-a3c8-11da-a746-0800200b9a66,03.00.000,kg,Units of mass,unit group data set,93a60a57-a4c8-11da-a746-0800200c9a66,,7e18d0ad-e78e-47a0-8e96-1c0a581902e2,ad38d542-3fe9-439d-9b95-2f5f7752acaf
Volume,flow property data set,93a60a56-a3c8-22da-a746-0800200c9a66,03.00.000,m3,Units of volume,unit group data set,93a60a57-a3c8-12da-a746-0800200c9a66,,,cd950537-0a98-4044-9ba7-9f9a68d0a504
Area,flow property data set,93a60a56-a3c8-19da-a746-0800200c9a66,03.00.000,m2,Units of area,unit group data set,93a60a57-a3c8-18da-a746-0800200c9a66,,,c20a03d7-bd90-4569-bc94-66cfd364dfc8
Length,flow property data set,838aaa23-0117-11db-92e3-0800200c9a66,03.00.000,m,Units of length,unit group data set,838aaa22-0117-11db-92e3-0800200c9a66,,,
Number of items,flow property data set,01846770-4cfe-4a25-8ad9-919d8d378345,03.00.000,Item(s),Units of items,unit group data set,5beb6eed-33a9-47b8-9ede-1dfe8f679159,,,934110e3-baf4-49e9-992c-3d8109a6aafb
Gross calorific value,flow property data set,93a60a56-a3c8-14da-a746-0800200c9a66,03.00.000,MJ,Units of energy,unit group data set,93a60a57-a3c8-11da-a746-0800200c9a66,,,
Net calorific value,flow property data set,93a60a56-a3c8-11da-a746-0800200c9a66,03.00.000,MJ,Units of energy,unit group data set,93a60a57-a3c8-11da-a746-0800200c9a66,,,
Energy renewable (net calorific value),flow property data set,9b784a67-fbb1-4ad2-8774-30c39643b844,,,,,,,,
Mass*time,flow property data set,b3f0f892-c5a3-4c66-a432-c09e3d1e9bd6,,kg*a,Units of mass*time,unit group data set,59f191d6-5dd3-4553-af88-1a32accfe308,,,
Area*time,flow property data set,93a60a56-a3c8-21da-a746-0800200c9a66,,m2*a,Units of area*time,unit group data set,93a60a57-a3c8-20da-a746-0800200c9a66,,,
Volume*time,flow property data set,441238a3-ba09-46ec-b35b-c30cfba746d1,,m3*a,Units of volume*time,unit group data set,93a60a57-a3c8-23da-a746-0800200c9a66,,,
Duration,flow property data set,c0447923-0e60-4b3c-97c2-a86dddd9eea5,,a,Units of time,unit group data set,,,,
Goods transport (mass*distance),flow property data set,838aaa20-0117-11db-92e3-0800200c9a66,,t*km,,,,,,
Radioactivity,flow property data set,93a60a56-a3c8-17da-a746-0800200c9a66,,kBq,Units of radioactivity,unit group data set,93a60a57-a3c8-16da-a746-0800200c9a66,,,
